"ID","A1B1","A1B2","A1B3","A2B1","A2B2","A2B3","A3B1","A3B2","A4B1","A4B2","NONE"
1,14.1415165706484,-1.55518844475083,-12.5863281258976,10.796456677977,-5.58155849870868,-5.2148981792683,-4.11650113138495,4.11650113138495,-3.54155998724426,3.54155998724426,10.9084194899508
2,14.962928438312,-1.65439754036077,-13.3085308979512,11.4519246191002,-4.55219169528622,-6.89973292381395,-5.31633864628769,5.31633864628769,-4.48101751839455,4.48101751839455,11.5123331205067
3,14.3767321757282,-3.11966242775231,-11.2570697479759,9.98524385275587,-5.04734577054204,-4.93789808221382,-4.89319946100633,4.89319946100633,-3.53486639764248,3.53486639764248,11.5652562742505
4,13.6289136611918,-1.03857473310608,-12.5903389280857,10.9908197280869,-5.54832479828628,-5.44249492980062,-4.67496056553805,4.67496056553805,-3.78863501150744,3.78863501150744,10.4013711438696
5,15.6125099078339,-2.32602644185251,-13.2864834659814,11.3622372292756,-5.35690062915585,-6.0053366001197,-5.8070807597471,5.8070807597471,-3.17921599715083,3.17921599715083,10.8291820631824
6,16.4977525138346,-3.22833060801853,-13.2694219058161,11.7432560486626,-5.35925133720029,-6.38400471146235,-6.86372157034188,6.86372157034188,-4.34984975946471,4.34984975946471,11.896237540555
7,16.5172107519162,-3.09686617275389,-13.4203445791623,10.4162364718759,-5.45117579416506,-4.96506067771083,-5.95300537921802,5.95300537921802,-4.38638796214061,4.38638796214061,10.0053779701895
8,14.8266297708974,-2.24021154134711,-12.5864182295503,11.1814945133361,-5.17469734178462,-6.00679717155147,-5.39683698560871,5.39683698560871,-3.3971125011253,3.3971125011253,11.3712903919379
9,13.8682241705666,-3.00900127102912,-10.8592228995375,8.89921355218651,-5.1849716479472,-3.71424190423931,-3.20817349852215,3.20817349852215,-1.37947214214073,1.37947214214073,11.8809537173095
10,12.635845043875,-1.72435174719933,-10.9114932966757,9.22376458009914,-5.48835252257507,-3.73541205752407,-2.67273334046739,2.67273334046739,-1.26539017965312,1.26539017965312,11.3886451808275
11,16.1550829303687,-2.35933848425497,-13.7957444461137,12.1765532833372,-5.31514148300999,-6.86141180032725,-6.67687059761834,6.67687059761834,-4.4916723268206,4.4916723268206,11.7943686060553
12,16.5325373021531,-2.69028174100386,-13.8422555611492,11.9520178482292,-5.56106592915314,-6.39095191907604,-7.24585802995101,7.24585802995101,-4.66190825457901,4.66190825457901,11.4482031171665
13,14.9252334706149,-2.7906916328439,-12.134541837771,10.1002103850154,-5.83743691143444,-4.262773473581,-4.42968013528558,4.42968013528558,-3.83965361607804,3.83965361607804,11.2530569065852
14,15.6220302525935,-2.28088320833965,-13.3411470442538,11.9054366796539,-4.90092250358301,-7.00451417607089,-6.05025402086718,6.05025402086718,-3.75745929794754,3.75745929794754,12.3588368052656
15,15.5104220283945,-2.96077628153724,-12.5496457468573,10.4319253202571,-4.47559440332755,-5.9563309169295,-5.48074300019585,5.48074300019585,-3.59620853398399,3.59620853398399,12.3390533900997
16,14.6238605080646,-2.71457376392812,-11.9092867441365,10.2185420102508,-5.51243554495377,-4.70610646529706,-4.48617486447043,4.48617486447043,-2.97259524389266,2.97259524389266,11.3120054276008
17,15.9267646269136,-2.66273872527735,-13.2640259016363,11.3876444405337,-4.7188344307,-6.66881000983374,-5.50811477717314,5.50811477717314,-5.0490060478086,5.0490060478086,12.259645655032
18,16.5388607843096,-2.09098262841486,-14.4478781558947,12.8019037265651,-5.53226395036465,-7.2696397762004,-7.26949645604658,7.26949645604658,-4.65629949889435,4.65629949889435,12.0202446259169
19,13.5947735912171,-2.66498787702717,-10.9297857141899,8.01361630280489,-4.07282481216647,-3.94079149063843,-2.80808236904841,2.80808236904841,-2.71837956963609,2.71837956963609,9.98760521374929
20,15.4351559901398,-2.5819525282358,-12.853203461904,10.8330413144546,-5.54284202607246,-5.29019928838218,-5.26929244425131,5.26929244425131,-3.70620766088964,3.70620766088964,11.8586297557721
21,14.9012390736262,-1.80108940941329,-13.1001496642129,10.9880031209228,-4.30097033598188,-6.68703278494095,-5.36544693315574,5.36544693315574,-4.62409629959677,4.62409629959677,11.6239760156246
22,14.6043704564318,-2.58211947918187,-12.02225097725,10.4777831732746,-5.66210876014009,-4.81567441313454,-4.23904309533486,4.23904309533486,-2.6539809306015,2.6539809306015,12.6249584319281
23,14.5065884781019,-2.34349090685727,-12.1630975712446,10.3439560252797,-4.58434785339183,-5.75960817188788,-4.8428395064406,4.8428395064406,-3.5270879304471,3.5270879304471,12.0776371769552
24,15.9623098670832,-2.72612384976539,-13.2361860173178,11.6830505678387,-4.5484754064235,-7.13457516141517,-5.99444600409981,5.99444600409981,-5.48739649581122,5.48739649581122,12.1220001360966
25,14.7415985635878,-2.36590272780599,-12.3756958357818,10.8356955741721,-5.20350615551979,-5.63218941865227,-4.78839856796772,4.78839856796772,-3.8166750711891,3.8166750711891,12.1950223448304
26,16.253328992738,-2.87178563122701,-13.381543361511,11.0508466648331,-4.93940320921141,-6.11144345562171,-5.98576760255381,5.98576760255381,-3.71799262202898,3.71799262202898,12.4442208252007
27,15.2904899795781,-2.9303405191857,-12.3601494603924,10.4438838956164,-5.96184087598466,-4.4820430196317,-5.498952143818,5.498952143818,-3.32545494345679,3.32545494345679,11.6895797498057
28,14.6605230690458,-2.67972394996191,-11.9807991190839,10.5496587341847,-5.21480572536489,-5.33485300881981,-4.5835470682139,4.5835470682139,-3.46908438626619,3.46908438626619,12.1796965109103
29,14.723979374095,-2.40342944686201,-12.320549927233,10.714284123632,-4.72098354319653,-5.99330058043544,-5.01984982271631,5.01984982271631,-3.99349409881679,3.99349409881679,12.5854868895747
30,13.5298176255899,-2.41629258494956,-11.1135250406403,10.0696265994787,-4.61860677907123,-5.45101982040749,-3.88093221402855,3.88093221402855,-2.87046124492249,2.87046124492249,12.2646021726104
31,14.167406675097,-2.24504382635819,-11.9223628487388,10.1868889134506,-5.35492827105574,-4.83196064239488,-4.703277685821,4.703277685821,-3.47731438655263,3.47731438655263,11.9794261434787
32,14.5514529269445,-2.70067578533633,-11.8507771416082,10.3026559993145,-4.9023312150225,-5.40032478429202,-4.43531807334643,4.43531807334643,-3.1559802323792,3.1559802323792,11.8320681426722
33,14.7026382495198,-2.54808061836346,-12.1545576311564,10.5157223438601,-3.8650530585637,-6.65066928529637,-5.48307724229469,5.48307724229469,-3.84960580121638,3.84960580121638,12.3247341400568
34,13.4303588846596,-2.79969569288211,-10.6306631917775,9.02960258024484,-4.76822832832458,-4.26137425192026,-3.91303688871461,3.91303688871461,-2.53879310219692,2.53879310219692,12.2860924780417
